event,ticker,semantic_score,sentiment_score,predicted_direction,article_count
How will AI chip demand affect semiconductor stocks?,NVDA,0.2057867246604723,-0.3881879657553015,DOWN,4
How will AI chip demand affect semiconductor stocks?,TSM,0.21731397288816162,-0.1768905088694511,DOWN,4
How will AI chip demand affect semiconductor stocks?,AAPL,0.08323109249915836,0.05163629389951806,UP,4
How will AI chip demand affect semiconductor stocks?,MSFT,0.10625882475936045,0.013220940182591439,UP,4
How will AI chip demand affect semiconductor stocks?,JPM,0.11426412784025126,0.06743160340652572,UP,4
How will AI chip demand affect semiconductor stocks?,GS,0.1300601522246583,0.002104143971860104,UP,4
How will AI chip demand affect semiconductor stocks?,XOM,0.06671413269349855,0.009039837305987316,DOWN,4
How will AI chip demand affect semiconductor stocks?,CVX,0.03270136966146448,0.07971055385961985,UP,4
How will rates policy affect bank earnings?,NVDA,0.08547895680376166,-0.06822625783952972,UP,4
How will rates policy affect bank earnings?,TSM,0.08954816578383204,0.025589846379576744,UP,4
How will rates policy affect bank earnings?,AAPL,0.11268921029381465,-0.07484145906710585,DOWN,4
How will rates policy affect bank earnings?,MSFT,0.09401891396514726,-0.21475861010895328,DOWN,4
How will rates policy affect bank earnings?,JPM,0.12029734677125838,0.019927863306137713,UP,4
How will rates policy affect bank earnings?,GS,0.1338080272750907,-0.18977783412290417,DOWN,4
How will rates policy affect bank earnings?,XOM,0.07549949843528592,-0.055471733370903574,DOWN,4
How will rates policy affect bank earnings?,CVX,0.0878881172045896,-0.06440614870729616,DOWN,4
How will oil volatility affect energy stocks?,NVDA,0.06619238175941847,-0.15104057582629188,DOWN,4
How will oil volatility affect energy stocks?,TSM,0.06904975216886766,-0.08188250659851361,DOWN,4
How will oil volatility affect energy stocks?,AAPL,0.04131510520362423,-0.030265747262922638,DOWN,4
How will oil volatility affect energy stocks?,MSFT,0.07688841771262403,0.004909747228994565,UP,4
How will oil volatility affect energy stocks?,JPM,0.10149945687212131,0.14808201887428832,UP,4
How will oil volatility affect energy stocks?,GS,0.13248522276368208,-0.005581349028881431,UP,4
How will oil volatility affect energy stocks?,XOM,0.20553617819874606,-0.25938823469935446,DOWN,4
How will oil volatility affect energy stocks?,CVX,0.15909068164942858,-0.16882344505408559,DOWN,4
How will cloud AI spending affect big tech?,NVDA,0.1685054679373203,-0.17441814676383677,DOWN,4
How will cloud AI spending affect big tech?,TSM,0.09410095561279332,-0.0901201299383039,DOWN,4
How will cloud AI spending affect big tech?,AAPL,0.09011916750007191,0.16780175123957272,UP,4
How will cloud AI spending affect big tech?,MSFT,0.18627977179770058,-0.3434193585760711,DOWN,4
How will cloud AI spending affect big tech?,JPM,0.11392359119984316,-0.14244463452915732,DOWN,4
How will cloud AI spending affect big tech?,GS,0.089904963049075,0.032171391910507344,UP,4
How will cloud AI spending affect big tech?,XOM,0.04995063651090647,0.013764425973028347,DOWN,4
How will cloud AI spending affect big tech?,CVX,0.032701333515718516,0.07971055481576586,UP,4
